x_mm,y_mm,wins,win_rate,win_rate_ci95_low,win_rate_ci95_high,mean_rank,top_k,top_k_rate,balanced_rank
-2.5,-5.5,0,0.0,0.0,0.003826898586390522,294.392,5,0.0,288
2.5,5.5,0,0.0,0.0,0.003826898586390522,294.652,5,0.0,289
0.5,-4.5,0,0.0,0.0,0.003826898586390522,300.328,5,0.0,306
-0.5,-4.5,0,0.0,0.0,0.003826898586390522,301.292,5,0.0,307
2.0,-5.5,0,0.0,0.0,0.003826898586390522,301.315,5,0.0,298
0.0,-4.0,0,0.0,0.0,0.003826898586390522,302.216,5,0.0,310
1.0,-5.0,0,0.0,0.0,0.003826898586390522,302.238,5,0.0,302
-2.0,5.5,0,0.0,0.0,0.003826898586390522,302.32,5,0.0,299
-0.5,4.5,0,0.0,0.0,0.003826898586390522,302.436,5,0.0,308
0.5,4.5,0,0.0,0.0,0.003826898586390522,303.184,5,0.0,309
0.0,4.0,0,0.0,0.0,0.003826898586390522,303.216,5,0.0,311
-1.0,-5.0,0,0.0,0.0,0.003826898586390522,303.238,5,0.0,303
-2.0,-5.5,0,0.0,0.0,0.003826898586390522,303.31,5,0.0,300
-1.0,5.0,0,0.0,0.0,0.003826898586390522,304.244,5,0.0,304
2.0,5.5,0,0.0,0.0,0.003826898586390522,304.311,5,0.0,301
1.0,5.0,0,0.0,0.0,0.003826898586390522,305.232,5,0.0,305
0.5,-5.0,0,0.0,0.0,0.003826898586390522,311.61,5,0.0,316
1.5,-5.5,0,0.0,0.0,0.003826898586390522,312.42,5,0.0,312
-0.5,-5.0,0,0.0,0.0,0.003826898586390522,312.602,5,0.0,317
-0.5,5.0,0,0.0,0.0,0.003826898586390522,313.611,5,0.0,318
-1.5,-5.5,0,0.0,0.0,0.003826898586390522,313.765,5,0.0,313
-1.5,5.5,0,0.0,0.0,0.003826898586390522,314.069,5,0.0,314
0.0,-4.5,0,0.0,0.0,0.003826898586390522,314.522,5,0.0,320
0.5,5.0,0,0.0,0.0,0.003826898586390522,314.601,5,0.0,319
1.5,5.5,0,0.0,0.0,0.003826898586390522,315.418,5,0.0,315
0.0,4.5,0,0.0,0.0,0.003826898586390522,315.522,5,0.0,321
0.0,-5.0,0,0.0,0.0,0.003826898586390522,322.234,5,0.0,326
1.0,-5.5,0,0.0,0.0,0.003826898586390522,322.727,5,0.0,322
0.0,5.0,0,0.0,0.0,0.003826898586390522,323.234,5,0.0,327
-1.0,-5.5,0,0.0,0.0,0.003826898586390522,323.549,5,0.0,323
-1.0,5.5,0,0.0,0.0,0.003826898586390522,324.668,5,0.0,324
1.0,5.5,0,0.0,0.0,0.003826898586390522,325.608,5,0.0,325
0.5,-5.5,0,0.0,0.0,0.003826898586390522,327.768,5,0.0,328
-0.5,-5.5,0,0.0,0.0,0.003826898586390522,328.768,5,0.0,329
-0.5,5.5,0,0.0,0.0,0.003826898586390522,329.797,5,0.0,330
0.5,5.5,0,0.0,0.0,0.003826898586390522,330.739,5,0.0,331
0.0,-5.5,0,0.0,0.0,0.003826898586390522,331.952,5,0.0,332
0.0,5.5,0,0.0,0.0,0.003826898586390522,332.952,5,0.0,333
